,word,count
0,html,290
1,javascript,170
2,image,162
3,css,161
4,page,140
5,div,137
6,button,128
7,element,117
8,input,110
9,text,108
10,value,103
11,bootstrap,94
12,quot,90
13,form,86
14,file,86
15,jquery,83
16,gt,77
17,tag,73
18,js,67
19,php,63
20,t,62
21,function,61
22,background,61
23,table,60
24,color,49
25,i,48
26,content,45
27,code,44
28,class,41
29,row,40
30,list,40
31,lt,39
32,change,39
33,height,39
34,menu,38
35,display,38
36,bar,37
37,click,36
38,size,35
39,container,34
40,error,34
41,column,34
42,position,33
43,box,33
44,line,32
45,event,32
46,link,32
47,parent,31
48,video,31
49,scroll,30
50,style,30
51,work,30
52,header,29
53,center,29
54,browser,28
55,way,28
56,width,28
57,field,28
58,space,28
59,database,28
60,custom,27
61,hover,27
62,array,27
63,id,26
64,issue,26
65,chrome,25
66,load,25
67,script,25
68,side,25
69,animation,24
70,s,24
71,item,23
72,option,23
73,number,23
74,drop,23
75,user,23
76,canvas,22
77,navigation,22
78,grid,21
79,radio,21
80,top,21
81,screen,21
82,border,21
83,email,21
84,divs,20
85,python,20
86,time,20
87,property,20
88,doesn,20
89,attribute,20
90,icon,19
91,template,19
92,navbar,19
93,name,19
94,string,18
95,show,18
96,loop,18
97,footer,18
98,align,18
99,type,17
100,select,17
101,html5,17
102,google,17
103,amp,17
104,bottom,17
105,index,17
106,child,17
107,svg,16
108,cannot,16
109,auto,16
110,window,16
111,problem,16
112,method,16
113,output,16
114,carousel,15
115,json,15
116,view,15
117,checkbox,15
118,default,15
119,object,14
120,website,14
121,modal,14
122,body,14
123,flexbox,14
124,block,13
125,scrollbar,13
126,path,13
127,react,13
128,label,13
129,date,13
130,use,13
131,group,13
132,iframe,13
133,layout,13
134,selection,12
135,search,12
136,webpage,12
137,validation,12
138,part,12
139,anchor,12
140,document,11
141,title,11
142,component,11
143,access,11
144,django,11
145,section,11
146,end,11
147,download,11
148,submit,11
149,print,10
150,href,10
151,site,10
152,margin,10
153,add,10
154,post,10
155,chart,10
156,app,10
157,columns,10
158,application,10
159,dom,10
160,request,10
161,effect,10
162,picture,10
163,alignment,10
164,cell,10
165,slider,10
166,url,10
167,collapse,9
168,safari,9
169,vue,9
170,focus,9
171,mouse,9
172,message,9
173,tab,9
174,web,9
175,get,9
176,mode,9
177,right,9
178,query,9
179,wrap,9
180,shadow,9
181,img,9
182,statement,9
183,server,9
184,selector,9
185,li,9
186,td,9
187,pre,8
188,format,8
189,word,8
190,card,8
191,left,8
192,audio,8
193,transition,8
194,electron,8
195,typeerror,8
196,inline,8
197,create,8
198,state,8
199,span,8
200,slide,8
201,variable,8
202,location,8
203,xpath,8
204,ie11,8
205,circle,8
206,font,7
207,move,7
208,placeholder,7
209,filter,7
210,order,7
211,regex,7
212,transparent,7
213,selenium,7
214,slideshow,7
215,material,7
216,beautifulsoup,7
217,player,7
218,api,7
219,result,7
220,outlook,7
221,sidebar,7
222,folder,7
223,firefox,7
224,target,7
225,drag,7
226,area,7
