,word,count
0,c,321
1,array,216
2,function,202
3,file,155
4,code,138
5,program,115
6,error,112
7,quot,108
8,pointer,94
9,i,83
10,value,82
11,struct,80
12,t,69
13,memory,68
14,number,67
15,string,66
16,output,59
17,loop,53
18,char,49
19,list,49
20,input,49
21,language,42
22,fault,41
23,type,40
24,problem,36
25,int,36
26,segmentation,35
27,line,35
28,time,34
29,use,33
30,way,33
31,address,32
32,structure,31
33,size,30
34,character,29
35,s,28
36,name,28
37,malloc,27
38,return,25
39,integer,25
40,command,25
41,length,25
42,process,24
43,order,22
44,work,22
45,print,22
46,declaration,21
47,printf,21
48,element,21
49,compiler,20
50,statement,20
51,issue,20
52,matrix,19
53,access,19
54,cannot,19
55,studio,19
56,buffer,19
57,text,19
58,scanf,19
59,word,19
60,library,18
61,linux,18
62,difference,17
63,python,17
64,vs,17
65,system,17
66,end,17
67,variable,17
68,space,16
69,module,16
70,call,15
71,point,15
72,gcc,15
73,h,15
74,header,15
75,message,15
76,amp,15
77,implementation,14
78,reference,14
79,stack,14
80,change,14
81,sum,14
82,source,14
83,cs50,13
84,bit,13
85,child,13
86,m,13
87,result,13
88,argument,13
89,gt,12
90,x,12
91,programming,12
92,index,12
93,user,12
94,doesn,11
95,recursion,11
96,directory,11
97,get,11
98,txt,11
99,project,11
100,definition,11
101,const,11
102,arm,10
103,kernel,10
104,object,10
105,member,10
106,pipe,10
107,application,10
108,core,10
109,float,10
110,makefile,10
111,macro,9
112,compile,9
113,read,9
114,search,9
115,initialization,9
116,byte,9
117,clang,9
118,row,9
119,linker,9
120,vscode,9
121,shell,9
122,expression,9
123,r,9
124,check,8
125,version,8
126,csv,8
127,create,8
128,format,8
129,socket,8
130,symbol,8
131,client,8
132,default,8
133,fork,8
134,store,8
135,class,8
136,question,8
137,part,8
138,section,8
139,valgrind,8
140,build,8
141,void,8
142,device,7
143,clion,7
144,condition,7
145,bash,7
146,bug,7
147,union,7
148,write,7
149,level,7
150,garbage,7
151,script,7
152,sort,7
153,allocation,7
154,cross,7
155,parameter,7
156,mode,7
157,path,7
158,case,7
159,conversion,7
160,printing,7
161,sequence,7
162,exit,7
163,gdb,7
164,need,7
165,queue,7
166,realloc,7
167,operation,7
168,method,7
169,register,6
170,control,6
171,start,6
172,server,6
